eventID	eventType	device	device_operation_label	device_operation_subdevices	device_operation_devicetypes	sensor_id	start_date	end_date	start_time	end_time	lat_start	lon_start	lat_end	lon_end	start_depth_m	end_depth_m	eventDate	eventTime	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	footprintWKT
PS149_18-6	station	Multinet Midi 5 Nets 55 ?m	mn_s5_ps_55		net	798f7a48-587d-4257-afa7-5b1c81e7df61	2025-07-20	2025-07-20	12:15:43	14:58:27	84.4668	-17.9435	84.4637	-17.9027	3401.5	3402.9	2025-07-20	12:15:43/14:58:27	84.4652	-17.9231	279	LINESTRING(-17.9435 84.4668, -17.9027 84.4637)
PS149_18-7	station	CTD AWI-OZE (Piglet)	CTD_SBE9plus_287		CTD	9c536cc7-8974-441c-a5d5-5f8ac367f5d4	2025-07-20	2025-07-20	15:03:45	16:08:18	84.4635	-17.9011	84.4597	-17.8850	3402.8	3404.6	2025-07-20	15:03:45/16:08:18	84.4616	-17.8931	229	LINESTRING(-17.9011 84.4635, -17.8850 84.4597)
PS149_18-8	station	Bongo Net	BONGO_PS		net	359bd2ab-a667-4d8a-bf5b-c06a84120e33	2025-07-20	2025-07-20	16:11:18	16:37:54	84.4595	-17.8846	84.4576	-17.8813	3404.8	3405.7	2025-07-20	16:11:18/16:37:54	84.4586	-17.8830	107	LINESTRING(-17.8846 84.4595, -17.8813 84.4576)
PS149_18-9	station	Bongo Net	BONGO_PS		net	359bd2ab-a667-4d8a-bf5b-c06a84120e33	2025-07-20	2025-07-20	16:38:09	16:56:18	84.4576	-17.8813	84.4562	-17.8803	3405.7	3406.3	2025-07-20	16:38:09/16:56:18	84.4569	-17.8808	78	LINESTRING(-17.8813 84.4576, -17.8803 84.4562)
PS149_19-1	station	GoPro Hero11 black video camera	gopro_uoc		camera	65975f30-96fa-4140-b359-d13f111ab9ca	2025-07-23	2025-07-23	10:33:07	11:03:32	83.9275	-5.1171	83.9339	-5.1194	3006.7	3047.6	2025-07-23	10:33:07/11:03:32	83.9307	 -5.1182	356	LINESTRING(-5.1171 83.9275, -5.1194 83.9339)
PS149_2-1	station	MetOcean SVP-I-BXGS-AP (FID4076) 2025P344	2025P344		Buoy	ea1ea42c-2d15-46c8-8605-c0941c1a2877	2025-07-05	2025-07-05	15:52:45	15:54:33	79.9469	9.0098	79.9476	9.0099	473.6	473.6	2025-07-05	15:52:45/15:54:33	79.9472	  9.0098	39	LINESTRING(9.0098 79.9469, 9.0099 79.9476)
PS149_20-1	station	TV-guided Multiple Corer	TV-MUC		corer	59405e69-7179-4bf0-b71c-0db656bfc279	2025-07-24	2025-07-24	12:30:45	16:48:09	83.7359	11.1345	83.7131	11.1817	3621.6	3472.3	2025-07-24	12:30:45/16:48:09	83.7245	 11.1581	1301	LINESTRING(11.1345 83.7359, 11.1817 83.7131)
PS149_21-1	station	Ship-supported ice station	ship_icestation		pack ice	3f86bc00-2d39-11ef-ba7e-005056a5aa32	2025-07-25	2025-07-28	18:30:00	18:40:09	82.7010	27.1185	82.4897	28.4180	3972.5	3832.2	2025-07-25T18:30:00Z/2025-07-28T18:40:09Z		82.5954	 27.7683	15048	LINESTRING(27.1185 82.7010, 28.4180 82.4897)
PS149_21-10	station	Remotely ObServing INsitu camera for Aggregates	ROSINA		underwater cameras	e0d55827-0762-4c94-bae3-ca8b44259bea	2025-07-26	2025-07-26	17:22:09	20:07:20	82.6129	26.7035	82.5986	26.6739	3976.5	3978.8	2025-07-26	17:22:09/20:07:20	82.6058	 26.6887	824	LINESTRING(26.7035 82.6129, 26.6739 82.5986)
PS149_21-11	station	Hand Net	HN_PS		net	50ce87fc-bae0-46a2-bd54-51f4cc3dda50	2025-07-26	2025-07-26	19:36:21	19:40:45	82.6012	26.6806	82.6008	26.6796	3977.5	3978	2025-07-26	19:36:21/19:40:45	82.6010	 26.6801	23	LINESTRING(26.6806 82.6012, 26.6796 82.6008)
PS149_21-12	station	Marine Snow Catcher	MSC_PS		water sampler	7c1da4f0-e495-4e05-aad6-e5aa362a820b	2025-07-26	2025-07-26	20:10:40	20:26:07	82.5983	26.6731	82.5970	26.6695	3978.6	3978.8	2025-07-26	20:10:40/20:26:07	82.5976	 26.6713	77	LINESTRING(26.6731 82.5983, 26.6695 82.5970)
PS149_21-13	station	Maritime Robotics Otter Pro USV SN124	otter_pro_usv_124		small boat	28f5f680-0af8-431f-a46b-736ae926c241	2025-07-27	2025-07-27	11:35:05	12:50:32	82.5420	26.8297	82.5408	26.8663	3963.3	3961.8	2025-07-27	11:35:05/12:50:32	82.5414	 26.8480	273	LINESTRING(26.8297 82.5420, 26.8663 82.5408)
PS149_21-14	station	Maritime Robotics Otter Pro USV SN124	otter_pro_usv_124		small boat	28f5f680-0af8-431f-a46b-736ae926c241	2025-07-28	2025-07-28	12:35:31	13:23:37	82.4863	28.1688	82.4858	28.1894	3850.1	3848.2	2025-07-28	12:35:31/13:23:37	82.4861	 28.1791	153	LINESTRING(28.1688 82.4863, 28.1894 82.4858)
PS149_21-15	station	TV-guided Multiple Corer	TV-MUC		corer	59405e69-7179-4bf0-b71c-0db656bfc279	2025-07-28	2025-07-28	19:00:03	21:55:13	82.4966	28.4470	82.4905	28.5706	3832.1	3815.9	2025-07-28	19:00:03/21:55:13	82.4936	 28.5088	961	LINESTRING(28.4470 82.4966, 28.5706 82.4905)
